,A-A(0.66V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength (nm),V vs. RHE (iRu corrected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1,1.01,1.02,1.03,1.04,1.05,1.06,1.07,1.08,1.09,1.1,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.2,1.21,1.22,1.23,1.24,1.25,1.26,1.27,1.28,1.29,1.3,1.31,1.32,1.33,1.34,1.35,1.36,1.37,1.38,1.39,1.4,1.41,1.42,1.43,1.44,1.45,1.46,1.47,1.48,1.49,1.5,1.51,1.52,1.53,1.54,1.55,1.56,1.57
450.29587,0,-1.75E-03,0.012,1.02E-02,0.014777778,8.01E-03,0.017333333,0.020444444,0.034888889,0.032222222,0.031111111,0.039333333,0.046333333,0.055333333,0.057666667,0.049222222,0.064111111,0.072777778,0.075222222,0.078333333,0.091666667,0.091,0.096888889,0.106888889,0.119666667,0.121555556,0.121,0.125222222,0.133555556,0.143888889,0.137333333,0.145333333,0.144222222,0.153333333,0.152777778,0.161444444,0.167444444,0.162777778,0.166555556,0.169222222,0.172777778,0.183222222,0.182333333,0.180444444,0.184777778,0.187111111,0.193444444,0.200444444,0.204777778,0.206555556,0.216777778,0.217444444,0.212333333,0.224888889,0.224111111,0.229444444,0.230777778,0.238777778,0.239555556,0.249222222,0.261444444,0.265222222,0.272,0.264222222,0.287,0.292888889,0.287333333,0.300333333,0.300333333,0.319888889,0.325444444,0.315,0.326777778,0.332555556,0.346888889,0.356555556,0.349666667,0.360888889,0.368222222,0.373,0.373888889,0.390444444,0.381777778,0.39,0.388777778,0.393444444,0.392,0.4,0.402,0.405888889,0.395333333,0.403222222
450.74942,0,-3.86E-03,0.016222222,0.016555556,0.020222222,0.012444444,0.017444444,0.022666667,0.031111111,0.033777778,0.034444444,0.043111111,0.045333333,0.058888889,0.060111111,0.052777778,0.067888889,0.076444444,0.076777778,0.081666667,0.092888889,0.095444444,0.099,0.107444444,0.123444444,0.121777778,0.125111111,0.121777778,0.138444444,0.146777778,0.137111111,0.147,0.147111111,0.154333333,0.155444444,0.164,0.173666667,0.162555556,0.172777778,0.169444444,0.176,0.188555556,0.184666667,0.183111111,0.187111111,0.192777778,0.197888889,0.201,0.208888889,0.207444444,0.221777778,0.221555556,0.214888889,0.225222222,0.227333333,0.233333333,0.237444444,0.237333333,0.239777778,0.255777778,0.261333333,0.265333333,0.274555556,0.269777778,0.286555556,0.298,0.29,0.303666667,0.303,0.320111111,0.327333333,0.318888889,0.333444444,0.333666667,0.352,0.358666667,0.357666667,0.367333333,0.374555556,0.374777778,0.375333333,0.396,0.385333333,0.393888889,0.392777778,0.397888889,0.395,0.400111111,0.404333333,0.412888889,0.395111111,0.400444444
451.20295,0,-1.99E-03,0.014,0.014777778,0.016111111,0.013333333,0.018777778,0.025444444,0.025111111,0.034555556,0.029333333,0.040555556,0.042777778,0.056222222,0.056555556,0.052444444,0.072777778,0.075444444,0.075222222,0.084333333,0.095333333,0.093555556,0.096222222,0.107333333,0.118,0.117111111,0.125666667,0.120111111,0.142666667,0.144333333,0.136444444,0.148555556,0.149777778,0.156888889,0.156333333,0.164777778,0.176888889,0.165333333,0.167888889,0.172111111,0.176777778,0.192666667,0.181111111,0.181555556,0.188888889,0.194777778,0.204111111,0.203222222,0.206222222,0.206333333,0.218444444,0.221555556,0.218555556,0.226111111,0.231444444,0.233777778,0.237222222,0.237111111,0.241222222,0.256777778,0.258333333,0.264777778,0.277444444,0.267444444,0.284777778,0.296666667,0.293555556,0.302,0.299888889,0.316111111,0.328666667,0.322666667,0.336333333,0.332666667,0.354,0.360888889,0.360222222,0.365666667,0.377333333,0.379333333,0.376222222,0.398888889,0.383666667,0.398222222,0.397666667,0.398111111,0.391,0.397,0.405222222,0.409666667,0.398333333,0.403111111
451.65645,0,-5.81E-04,0.015111111,1.06E-02,0.016777778,0.014,0.017777778,0.025555556,0.022222222,0.033333333,0.030444444,0.045222222,0.040111111,0.053,0.053,0.058111111,0.071333333,0.080111111,0.075111111,0.081111111,0.094222222,0.094111111,0.096444444,0.107666667,0.112444444,0.117222222,0.123444444,0.120666667,0.140555556,0.142111111,0.137444444,0.150222222,0.151222222,0.159888889,0.159444444,0.163555556,0.172111111,0.164666667,0.170777778,0.169333333,0.177333333,0.192888889,0.180222222,0.177444444,0.192222222,0.198222222,0.205222222,0.202444444,0.203222222,0.206222222,0.216,0.220666667,0.221,0.227111111,0.231222222,0.232555556,0.238888889,0.237777778,0.243444444,0.259666667,0.255444444,0.260111111,0.276111111,0.273111111,0.285,0.290111111,0.293888889,0.303222222,0.303,0.314555556,0.322666667,0.323666667,0.336444444,0.333,0.352888889,0.359,0.361333333,0.363111111,0.372444444,0.375555556,0.375222222,0.392444444,0.383666667,0.393333333,0.398777778,0.394333333,0.395222222,0.396444444,0.404,0.412111111,0.400222222,0.405111111
452.10992,0,1.37E-03,0.017555556,4.21E-03,0.015222222,0.019666667,0.016111111,0.023222222,0.021,0.034222222,0.030444444,0.041777778,0.041,0.051777778,0.051333333,0.061333333,0.066444444,0.079222222,0.075777778,0.083333333,0.096,0.095555556,0.097777778,0.107222222,0.115333333,0.116888889,0.125444444,0.117666667,0.140222222,0.139555556,0.137444444,0.151333333,0.156444444,0.163888889,0.159333333,0.162777778,0.172888889,0.168666667,0.172777778,0.169888889,0.181222222,0.191777778,0.181,0.182222222,0.193777778,0.196333333,0.203555556,0.205777778,0.202222222,0.207666667,0.218888889,0.22,0.222444444,0.229777778,0.229888889,0.236444444,0.240777778,0.238333333,0.25,0.263666667,0.253555556,0.259777778,0.277111111,0.276111111,0.288555556,0.288333333,0.291777778,0.302666667,0.306555556,0.312222222,0.32,0.325777778,0.337666667,0.334777778,0.350222222,0.359333333,0.363555556,0.368222222,0.374888889,0.377,0.378666667,0.388777778,0.385,0.396888889,0.400222222,0.394666667,0.398777778,0.399222222,0.403666667,0.412222222,0.400333333,0.404666667
452.56337,0,2.52E-03,1.07E-02,2.24E-03,0.015,0.023444444,0.014,0.021777778,0.015888889,0.030222222,0.03,0.038333333,0.040555556,0.049222222,0.05,0.059,0.060666667,0.076777778,0.071111111,0.080777778,0.089888889,0.094555556,0.101,0.106222222,0.115333333,0.116222222,0.129111111,0.117777778,0.136,0.135888889,0.138777778,0.150777778,0.155666667,0.164888889,0.159444444,0.158333333,0.167777778,0.168777778,0.171777778,0.169111111,0.181444444,0.187444444,0.184,0.189555556,0.194888889,0.195555556,0.201,0.203222222,0.198444444,0.206555556,0.215222222,0.223555556,0.219555556,0.229666667,0.225888889,0.236666667,0.238555556,0.241555556,0.255555556,0.266888889,0.253222222,0.255111111,0.270111111,0.278,0.288222222,0.282777778,0.291333333,0.302888889,0.304555556,0.310888889,0.318333333,0.324888889,0.338444444,0.330888889,0.347555556,0.354111111,0.362888889,0.365888889,0.373111111,0.378222222,0.381222222,0.387,0.384555556,0.393666667,0.396555556,0.398111111,0.402111111,0.397111111,0.399888889,0.410666667,0.402666667,0.405777778
453.01679,0,-4.93E-04,5.04E-03,1.28E-03,0.013444444,0.018111111,0.012555556,0.015333333,0.011777778,0.030888889,0.027222222,0.034111111,0.043555556,0.047222222,0.048444444,0.058888889,0.053777778,0.070222222,0.071333333,0.077777778,0.084111111,0.093111111,0.100444444,0.104111111,0.109555556,0.112333333,0.129888889,0.122555556,0.132222222,0.132555556,0.137777778,0.148777778,0.152444444,0.162333333,0.159666667,0.157444444,0.165,0.168444444,0.169222222,0.166222222,0.184555556,0.181444444,0.185222222,0.193444444,0.193,0.191666667,0.199222222,0.204111111,0.195111111,0.205333333,0.210777778,0.219777778,0.216666667,0.228333333,0.222222222,0.233777778,0.236222222,0.241555556,0.254111111,0.259888889,0.253888889,0.253333333,0.267777778,0.276333333,0.285333333,0.279,0.288888889,0.298111111,0.300555556,0.311,0.317333333,0.329666667,0.335222222,0.330444444,0.341555556,0.349333333,0.360111111,0.364111111,0.370444444,0.378666667,0.378666667,0.383333333,0.383555556,0.387111111,0.390111111,0.391666667,0.401333333,0.395444444,0.392,0.407666667,0.403111111,0.405222222
453.47018,0,3.03E-03,6.84E-03,8.34E-03,0.017333333,0.019,0.012222222,0.017555556,0.019333333,0.031555556,0.036444444,0.038555556,0.045888889,0.045888889,0.055333333,0.061333333,0.051111111,0.068111111,0.074222222,0.081888889,0.083,0.098222222,0.103666667,0.107666667,0.111222222,0.113777778,0.128444444,0.130444444,0.130444444,0.133222222,0.142555556,0.153888889,0.155222222,0.163555556,0.163333333,0.162333333,0.167333333,0.173222222,0.172444444,0.169,0.183777778,0.181333333,0.188777778,0.197,0.194666667,0.193777778,0.198555556,0.204444444,0.197,0.206,0.214777778,0.220777778,0.22,0.228333333,0.222555556,0.234777778,0.240111111,0.241333333,0.259111111,0.262,0.261111111,0.256333333,0.270444444,0.282333333,0.287777778,0.282555556,0.290888889,0.301111111,0.308888889,0.313,0.323666667,0.338777778,0.338333333,0.340555556,0.343666667,0.352111111,0.362666667,0.362444444,0.378111111,0.385111111,0.385,0.385555556,0.382444444,0.388444444,0.395666667,0.392111111,0.404333333,0.402333333,0.391666667,0.412111111,0.408,0.410666667
