,Concentration gradient,,
V vs. RHE (iRu corrected),Gaussian number,,
,1,2,3
0.66,0.2677136648415566,3.4584758527258486e-09,1.0323174376924583e-65
0.67,0.2971003769763287,6.1752342953506735e-09,4.5001966031724973e-64
0.68,0.3281004630264616,1.0923654356542251e-08,1.8689620420816735e-62
0.69,0.36056325076537116,1.914380569791533e-08,7.394694631014482e-61
0.7,0.394300252152784,3.323796479106682e-08,2.7873453244297565e-59
0.71,0.42908528970701243,5.717239519649589e-08,1.0009492971158134e-57
0.72,0.46465559818531654,9.742808549025464e-08,3.4243973362756923e-56
0.73,0.5007139588812543,1.6448555626911892e-07,1.1161099804230254e-54
0.74,0.5369318922495503,2.7511684671399434e-07,3.465617295227857e-53
0.75,0.5729538991477645,4.558819741018978e-07,1.0251914662522897e-51
0.76,0.608402703030033,7.483994733403114e-07,2.889216803825563e-50
0.77,0.6428854064660985,1.2171955167359435e-06,7.757218976715488e-49
0.78,0.6760004370821514,1.961250344107038e-06,1.9841876394640252e-47
0.79,0.707345122209539,3.1307727088950337e-06,4.835152742601112e-46
0.8,0.7365236999591989,4.951261497176844e-06,1.1225053657211392e-44
0.81,0.7631555487866751,7.757575414524999e-06,2.4826610048274652e-43
0.82,0.7868833993466388,1.2041538164291827e-05,5.2311501945838153e-42
0.83,0.8073812827360761,1.8517559319733547e-05,1.0500929086165034e-40
0.84,0.8243619688994698,2.8211835349085153e-05,2.0082095652726048e-39
0.85,0.8375836583933152,4.258187241666786e-05,3.65882052339859e-38
0.86,0.8468557097883314,6.367427168019475e-05,6.3507344161373596e-37
0.87,0.8520432131534066,9.432982651441985e-05,1.0501650613936682e-35
0.88,0.8530702562811845,0.00013844583761705458,1.654405438495703e-34
0.89,0.8499217731297869,0.00020130593934601575,2.4830021880482412e-33
0.9,0.8426439115705116,0.00028998737570616964,3.5502834256017207e-32
0.91,0.8313429078950481,0.00041385424370352504,4.836149493461371e-31
0.92,0.8161825064489178,0.0005851423773234022,6.276061329846657e-30
0.93,0.7973800119921761,0.0008196369124536475,7.75935121692757e-29
0.94,0.7752011078053055,0.0011374368218233803,9.139331090705147e-28
0.95,0.7499536122220191,0.0015637916001220865,1.0255437235460645e-26
0.96,0.721980378549373,0.002129983731948508,1.0963386396176034e-25
0.97,0.6916515669824274,0.002874216742244039,1.1165701926686077e-24
0.98,0.6593565313323423,0.0038424529736053627,1.0833732516914766e-23
0.99,0.6254955678343078,0.005089128596323128,1.0014308289107216e-22
1.0,0.5904717681337082,0.006677656991981075,8.818903181326624e-22
1.01,0.554683204367091,0.00868061723835989,7.398760374751559e-21
1.02,0.518515652064291,0.011179514013021299,5.913629595832852e-20
1.03,0.48233602773819584,0.014263991134730147,4.502980279195534e-19
1.04,0.4464866840852711,0.01803038555924035,3.2666058894991456e-18
1.05,0.4112806684308487,0.022579524143090994,2.2575854946442442e-17
1.06,0.376998011208858,0.02801369360194833,1.4864230823837772e-16
1.07,0.34388307261348827,0.03443275570724064,9.323767709494154e-16
1.08,0.3121429387171069,0.041929434614828905,5.5717448309997495e-15
1.09,0.28194682472718063,0.05058386959132834,3.1720626926349034e-14
1.1,0.2534264138062149,0.06045760097292256,1.7204540379953707e-13
1.11,0.22667703585492457,0.0715872350008383,8.889864822209061e-13
1.12,0.2017595723948238,0.08397810781339465,4.376208537029006e-12
1.13,0.1787029614009746,0.0975983328604644,2.0523509669923678e-11
1.14,0.15750716955011912,0.11237366141114574,9.169718871626728e-11
1.15,0.13814649852108835,0.12818360505011014,3.903113508750221e-10
1.16,0.12057309615080442,0.14485925573387703,1.582767453441013e-09
1.17,0.10472055168042677,0.1621831888826647,6.114681078196476e-09
1.18,0.09050746618000316,0.17989174685708798,2.2505117223335208e-08
1.19,0.07784090361743694,0.19767987631231154,7.891135808002164e-08
1.2,0.0666196440347699,0.21520853946248847,2.636018935168152e-07
1.21,0.056737177048735335,0.2321145460338582,8.388963463542352e-07
1.22,0.048084390619010105,0.24802247253145032,2.5434244963136715e-06
1.23,0.04055192604960236,0.2625581633515992,7.346494640707395e-06
1.24,0.03403218495556963,0.27536315989123245,2.0215861426547636e-05
1.25,0.028420987023582475,0.286109293890328,5.299746629481915e-05
1.26,0.02361888854195405,0.294512622032099,0.00013236364927789708
1.27,0.01953218072455352,0.3003458785709221,0.00031494384592848165
1.28,0.016073593771507234,0.3034486846243889,0.0007139179317440686
1.29,0.01316273746588512,0.30373487422735623,0.0015417509468303604
1.3,0.010726312048364477,0.30119647010013006,0.0031719835522265286
1.31,0.008698124349755415,0.2959040530999235,0.006217250974511999
1.32,0.007018943942395381,0.28800350147509385,0.011609583540049094
1.33,0.0056362326644991785,0.277709310170503,0.020653119236988808
1.34,0.004503778549178193,0.2652949171850719,0.03500301332030802
1.35,0.0035812622146014373,0.251080645754388,0.0565165943479317
1.36,0.0028337803854081548,0.2354200038089755,0.08693552948950282
1.37,0.002231347631243454,0.21868515645241798,0.1273999897312276
1.38,0.0017483938062000115,0.2012523994189624,0.1778657188500708
1.39,0.0013632711977769737,0.18348841365158813,0.2365733830018586
1.4,0.0010577821554151711,0.1657379805900881,0.29977145666114596
